"Individual"	"August_1m"	"August_2m"	"August_3m"	"August_4m"	"December_1m"	"December_2m"	"December_3m"	"December_4m"	"August_1t"	"August_2t"	"August_3t"	"August_4t"	"December_1t"	"December_2t"	"December_3t"	"December_4t"	"p.values"	"fc"
104	303	220	311	242	666	910	784	1133	2444	2096	2494	2184	3330	3252	2833	3293	0.00124667718700222	2.30901104333315
105	1136	1760	857	1980	3164	4206	3720	5523	2237	3486	2477	3536	4224	5900	5173	7009	0.00302770536898919	1.56476340719277
106	416	366	389	323	791	1127	1228	601	9261	10789	8856	11548	10013	12124	11813	8984	0.000262741509415788	2.27615956870037
108	719	403	506	606	1706	1778	1774	1133	5105	5044	5332	4330	6882	6068	6573	5810	0.00834941974948616	2.18996316708461
110	303	440	311	727	582	780	511	708	1722	1922	1658	2607	1787	1996	1450	1825	0.000544466527142504	1.68087116377578
111	303	440	467	202	707	867	648	708	1436	2038	2687	2127	2063	2344	2168	1878	0.00982904701183701	2.04023234245643
112	378	586	194	282	416	433	546	318	966	1227	836	968	666	693	853	495	0.00745446863079515	1.85917574726936
114	7690	6272	8105	7315	7951	6288	7406	10126	12227	10166	11955	11152	14780	11433	13441	17310	0.00085125411974863	-1.1599798621565
115	530	403	662	687	1082	1127	887	778	3120	2620	2548	3271	3351	3316	2881	2353	0.00755168417385367	1.66135423816227
116	3220	4108	3546	3718	3372	3339	3856	4036	4770	5963	5575	6187	6120	6828	7503	7420	0.00495857261506066	-1.23889892605173
119	530	513	623	606	124	216	136	424	10007	8704	7250	8305	13877	10842	12410	11802	0.0012320597043442	-3.75953353103607
120	1022	953	311	687	2414	1604	1331	1805	1760	1779	936	1537	2850	2148	1825	2194	0.0026473563170106	1.67914036915274
122	227	256	350	404	624	693	375	601	5982	4755	4496	4989	4397	4155	3322	4492	0.00921414600996045	2.22811129173618
123	1098	1283	1247	1535	1415	650	1194	1310	4971	5095	4485	5085	9374	7564	8181	7798	0.00349300500801432	-1.93656972724188
124	1780	1027	1363	1333	1373	954	1774	920	3334	2877	3351	2887	2041	1538	2424	1433	0.00293918443376957	1.52570802797599
125	530	440	623	485	499	997	580	531	2444	2717	2900	2836	1435	2298	1946	1594	0.004713232910659	1.83125193321926
126	985	476	1091	687	1540	1040	1877	1912	7296	5815	5803	5823	5970	4248	6926	5794	0.00369007945553522	2.15363247072773
127	1704	1834	1909	1576	1040	823	1365	1203	100287	101900	127300	78816	130103	91555	105012	120387	0.00674548828282093	-1.75476009996063
129	227	293	311	363	416	390	307	283	5412	5754	5469	5963	13010	12197	15358	13488	0.0101144164843122	-1.9984975784503
130	644	366	389	323	166	173	375	141	26836	17468	27835	16167	33306	24781	34129	35408	0.00739908133688233	-2.8678172998319
131	340	403	116	323	291	520	716	495	1230	1467	899	1193	749	954	1261	902	0.0110586763734967	2.1636954930513
132	985	733	701	606	1124	563	1023	956	11454	11287	10628	8915	7699	3416	4046	4877	0.00149830239125247	2.57679836167205
133	151	293	272	121	957	216	511	495	4209	3912	4471	3190	5148	2105	3302	3177	0.00708088551111446	2.76535132644798
134	454	440	116	242	749	823	887	849	2154	2201	1885	1595	2557	2191	2201	2266	0.0186758182718415	2.3882954214041
135	75	183	311	242	749	433	341	460	1037	935	1189	989	1687	1106	870	1009	0.0189568018136193	2.28971666246195
136	189	256	272	282	374	693	580	106	1214	1172	1091	1010	458	737	648	229	0.00186790771262786	3.26156904540355
138	189	293	116	242	1124	1084	546	672	12628	13974	9742	14265	25547	23569	16060	23198	0.000767289121800996	2.33942947654597
139	492	843	428	444	749	780	614	778	4358	6591	3402	4832	2938	3548	3530	2812	0.00543690449595699	1.97920062750774
140	530	660	740	485	499	650	409	460	10400	9045	10428	9898	21721	18586	18615	17048	0.000756018550797624	-2.26564739665994
141	568	843	545	323	3830	1127	1979	2903	1362	1302	1111	525	4433	1495	2320	3310	0.00969853031318469	1.55809242934424
142	530	256	194	323	707	737	921	1062	25257	19752	24356	17018	25277	19401	28796	27236	0.00858428320580944	2.30277788349232
143	265	183	194	202	416	303	443	318	6630	6793	6089	6124	5863	5621	6622	6373	0.000328864996391215	1.83186397763021
144	303	146	389	363	457	607	614	531	7577	6987	7793	6995	6106	6391	8301	5710	0.0137832830000684	2.10981545034485
145	113	220	155	161	208	216	273	247	1748	2057	2106	1971	1565	1762	2116	1641	0.00692995007185035	1.64531715446897
146	378	220	350	242	499	563	955	637	15785	20009	20630	17322	9251	10842	14053	6570	0.000414326668201788	3.95120906372814
147	189	110	155	202	457	216	443	531	1023	809	1012	1010	1375	911	1212	1521	0.000323593210439305	1.90452375891227
148	151	73	116	121	457	346	511	212	2444	2223	2125	1496	2973	2409	3065	2124	0.0100718062722693	2.43074623988016
149	340	330	233	404	333	693	648	566	1608	1701	1612	1698	1125	1430	1434	1345	0.00532481764815689	2.06615710656083
150	681	623	623	646	791	823	784	708	2783	2821	3247	2099	1977	1995	2357	1806	0.00156620887938034	1.60896329136999
151	227	110	77	242	249	867	307	531	1567	2501	1367	2287	957	1560	853	1292	0.000972770709552659	4.19082738603692
154	303	366	272	363	499	1040	682	672	5317	5916	4471	6613	6843	9819	6965	7233	0.000865061380608129	1.56980783041186
155	947	1173	1636	1616	1873	1821	2150	1876	4247	5360	5383	6032	12407	12475	12798	11656	0.000167565332792719	-1.60940504655061
156	454	366	389	323	291	216	307	389	8266	7192	9504	7348	10049	9035	10238	11128	0.00758516071292755	-1.6117153634399
157	378	733	974	727	83	303	409	141	5740	6609	7111	5087	9251	9199	9524	7868	0.000137652027762485	-4.70613450998559
158	340	183	116	161	666	433	409	354	3310	3334	3542	3759	2494	2344	2767	1945	8.7757070815599e-05	3.52534061507751
159	719	1393	662	970	1373	1431	1296	1203	6790	8104	6559	7029	5772	4884	6357	5079	0.000183225612967937	1.90161681922496
160	1363	1393	1792	1980	3372	2471	2832	2974	8973	8935	8536	7228	8473	6609	8880	6410	0.00213288687967927	1.98774845667321
162	189	146	233	323	208	346	136	177	1082	752	1243	1070	437	628	375	442	0.00533566406080162	2.07602671949097
163	530	586	389	202	874	390	443	708	8160	7246	6285	5774	5568	3147	4108	4141	0.0110703939452394	2.28280806769692
164	454	623	428	687	1248	1214	1604	1664	8914	7336	7938	6871	10322	7885	11623	9675	0.000509961491912168	2.07345909326725
165	681	550	506	485	291	216	375	424	2653	2512	1948	1858	2276	1902	2133	2213	0.00212093977879067	-1.66194558901348
166	1250	1980	1675	1374	791	910	784	531	9125	11384	9686	10571	8415	8355	10194	7587	0.00129806469410923	-1.75970069863128
168	757	513	467	485	1207	1691	2218	1416	8810	7443	8062	8818	10877	11911	13204	12209	0.00534733446624757	1.9813555027387
169	340	330	311	485	249	260	307	424	1326	1100	936	1234	416	520	682	690	0.00363910602091179	1.68356638425727
170	795	953	779	606	374	433	750	283	6521	6577	5607	6186	8921	6285	8833	6157	0.000920104500477388	-2.13053192434095
171	113	293	77	242	416	650	511	637	1495	2096	1590	1719	2040	2733	2611	2479	0.00392443805109015	2.34020727070706
172	189	293	116	242	333	303	238	460	4405	4891	3896	3514	2752	2734	2437	2859	0.000493600992873818	2.47362630210786
173	227	183	116	161	374	520	375	637	18943	15285	19484	16167	14987	14065	15642	14485	0.000488910161584091	3.19878030146752
174	75	146	77	80	291	216	273	354	1377	1287	1367	1418	1787	1455	1161	1433	0.00663324901428341	2.75202006101747
175	681	513	389	848	249	390	375	424	3627	2821	2278	3315	811	1172	887	1344	0.00752384127571207	1.72059493187381
176	303	293	272	282	208	216	204	212	25257	22574	22732	17683	29738	21684	29253	26556	0.00160396627572714	-1.66038849302759
177	530	696	545	444	124	390	477	106	19644	17424	17049	17100	24979	24394	28106	21244	0.00216799362868499	-3.20174292006094
178	1856	1467	1169	767	2164	2298	1808	2159	29006	23667	21649	18284	23031	22534	24778	22039	0.0050150821149929	1.65199710431864
179	606	440	935	970	499	910	511	778	4041	3550	4390	3702	1332	1603	1418	1734	0.00721670838171762	2.32527923211525
180	340	366	350	242	333	260	170	389	3747	3460	2805	2724	5645	5204	5171	5644	0.0186372165405398	-1.94521302251895
181	947	990	896	1050	541	1431	1672	1168	2422	2896	2455	3713	1125	1885	2269	1912	0.0042502732951347	1.84626038689953
182	1401	953	1052	767	999	780	887	991	22250	20293	22386	17859	34455	24394	29578	33047	0.00247435945481773	-1.63306741648164
183	151	403	428	363	915	433	682	672	2568	2726	3375	2491	3271	1953	3313	2899	0.0247467322472872	1.99767084953142
184	568	733	584	687	499	823	546	743	1686	2145	2222	2544	2887	3646	3640	3774	0.00106702031091293	-1.62362948297677
185	1098	733	740	404	416	86	102	247	3148	2421	2509	1636	2040	1470	1599	1630	0.0093875218703158	-2.67101261693291
186	189	256	311	202	249	346	238	283	5740	5349	5375	5943	2575	3125	3024	3934	0.0036381457389874	2.07404836668596
187	719	843	311	1091	1040	1040	1194	778	6665	6343	4723	5683	3957	3423	3878	3606	0.0197570741892347	2.21656555305493
188	454	220	233	282	333	563	273	460	1156	973	916	1414	750	780	494	743	0.013380157674952	2.15018925222014
190	75	110	77	80	624	260	477	743	15154	13756	15587	13472	15231	12390	16476	14299	9.28983675377376e-05	5.35274302841915
191	719	1063	857	1212	1915	1908	1774	1522	6259	6776	5133	6155	6426	7067	7922	6164	0.0162993982516379	1.63956992508711
192	1363	953	818	687	1998	1344	2252	2230	52458	41468	38969	40418	52589	43368	60879	47461	0.00972679659333913	1.74268292662596
193	568	476	740	525	749	693	682	566	6314	5481	5525	4452	4743	2689	3204	2750	0.00316491973188641	1.93151312529503
194	378	293	350	444	249	173	443	177	5412	4514	5480	4940	8326	6424	8371	7081	0.0102568984932016	-2.15780242476553
195	378	256	584	404	1207	1301	1467	1168	1137	1172	1461	768	2081	1755	2064	1539	0.00817942689150447	1.9423056905914
196	1439	1137	1052	1576	2081	4250	2935	3186	3788	3081	3076	4306	4097	5878	5167	6104	0.00206193532520469	1.57471942213861
197	265	403	389	646	1207	2081	1979	2230	7800	8070	7352	6953	11076	10105	12144	14299	0.00161792818445464	2.79902387903321
198	4243	4402	3624	4163	4288	3859	4675	3257	10079	9696	9613	10007	11748	11521	14475	10407	0.00232825417775464	-1.24735003944975
199	644	513	974	1091	208	260	238	177	4381	3378	4408	3815	3784	3771	3619	3688	0.00106207197447694	-3.19137162113765
200	719	623	818	282	1457	1474	1331	1345	2499	1741	2279	1473	3202	2666	2750	2850	0.00597680953810464	1.67264508588771
201	113	293	194	444	791	867	750	885	4371	6244	4871	5928	6938	8761	8938	9220	0.0138099631650671	2.15754058573161
204	303	256	116	404	832	867	546	920	1814	1337	1113	1232	1892	2060	1533	1984	0.00400984190561297	2.24544543278448
206	303	146	428	161	1124	607	887	743	6061	4733	4710	4145	8326	6459	6987	5633	0.00388371169515848	2.42968489298165
208	492	513	1052	1374	166	173	136	141	1023	1246	1636	2202	457	716	750	671	0.0108729338397028	-2.15237542829927
209	378	183	272	202	1124	954	784	1062	2630	2512	2392	2000	5109	5483	4757	4940	0.00274415853359449	1.8167723588803
210	9016	12289	9625	11236	6244	4943	5016	6373	15573	19662	16123	18420	12876	15027	14212	12849	0.0123261287708409	-1.46825975635643
211	644	330	389	282	291	216	614	389	7759	5692	6494	5052	14571	12755	13961	12982	0.010675926448736	-2.35221394794667
212	151	220	77	161	457	520	273	566	13776	13756	19484	16167	7507	7434	7584	5609	6.4379111387523e-06	6.57818953007838
215	151	146	155	444	249	260	204	283	5828	5434	6777	5169	1643	1858	2381	2162	0.00270356770552109	3.34677883299353
216	757	1027	1285	1131	499	1517	1194	247	2725	3762	3932	4286	6244	7905	6985	7745	0.013866019618896	-2.69756594670302
218	719	366	389	242	624	303	511	389	6427	4891	5730	3975	4336	2371	4062	3192	0.00213570947672119	1.67277026689378
219	530	1063	1169	485	124	130	102	106	1346	2497	1849	2245	1469	1832	1896	2414	1.25503773135823e-05	-6.10579678268536
220	227	73	155	242	374	433	546	743	1683	1746	2135	1823	2165	1927	2084	2529	0.011890717072605	2.55503641284654
221	644	330	428	1010	1207	1647	1331	1380	3111	3475	3199	4141	3869	4140	3707	4761	0.0267985552335289	2.03330522610353
222	757	733	974	1010	749	346	580	1026	3826	3861	3896	4635	1498	1192	1074	1823	0.00100921780606828	2.14669145970982
223	151	146	272	161	499	260	341	531	4329	3412	4133	3109	3162	2739	2403	2481	0.00121389199976939	2.998286927725
224	265	330	428	363	874	607	409	849	2851	2038	2198	2165	2665	1927	1757	2124	0.0126481622473479	2.05183965046312
225	189	366	233	161	249	390	136	177	2630	2911	2817	1837	6405	7096	5688	5058	0.000652631369112883	-2.42716970094246
226	606	403	545	444	582	477	614	601	5942	7205	8393	7800	3885	3223	5206	2936	0.00567103877352387	2.1956329886635
228	454	586	896	444	915	1040	1126	1133	7332	7622	8874	8388	8326	7767	9082	7171	0.0123149808497425	1.80796941952528
231	265	403	623	363	707	997	1160	1168	2173	1978	2847	1332	2457	2512	2730	2762	0.000441773720523946	1.91906336100374
232	113	256	155	161	166	563	477	247	2706	3292	2734	2887	1060	1475	1264	1131	1.78050098580848e-05	4.66763449865864
233	303	220	311	242	124	173	170	106	6448	4784	4723	4755	5430	4448	5884	5590	0.00785163556156384	-1.93628452208653
234	681	990	701	848	1040	1691	1194	1416	3326	3946	3578	3722	3079	3382	2797	4510	0.00170884281535952	1.76571356787351
235	454	440	740	323	1706	1734	1808	1062	16838	14200	16096	12436	23383	19491	22059	22600	0.00100742436759437	2.2201762223607
237	1477	843	1169	970	1956	1344	1740	2230	16983	15624	21256	19796	11245	10842	13814	9783	0.00204662735424809	2.58649182948535
238	492	586	428	485	791	737	511	849	6156	7071	5953	6736	3803	4468	4740	3916	0.002351626212744	2.17552827834822
239	340	513	233	202	915	1084	887	637	6958	5770	6680	4811	6991	4138	4695	4585	0.000232327458208279	3.38320685357716
240	1401	1247	974	1293	4163	2949	7235	3647	5454	5090	5323	4325	10129	8425	13755	9303	0.0164005033296454	1.69381608183735
242	189	586	272	121	249	303	341	531	757	1155	1108	830	437	455	613	708	0.0138190206811622	2.31923535060094
243	265	366	272	282	457	216	238	460	1210	1045	1384	909	790	542	545	937	0.0151682260261677	1.77937322479736
244	530	953	389	767	1415	1778	1023	1274	15600	17341	15587	12799	9830	10908	12335	12746	0.00178672946410085	2.80786813470831
245	416	110	116	242	374	650	375	283	2042	1342	1646	1276	1082	1711	1483	1026	0.0120389290475592	2.40845465809719
246	5834	3961	4988	4931	2747	2125	3310	3363	71152	51452	63140	45658	70456	48296	60191	51750	0.000738416790685903	-1.71738032604072
247	227	146	116	282	333	520	819	672	22731	24456	29227	31436	27755	28912	39004	26910	0.0120467853380657	2.54583191127286
248	227	330	311	202	499	260	375	495	2392	3439	3086	2846	2356	1782	2681	2155	0.0099128172457497	1.94288842700839
249	265	366	272	242	333	260	307	177	1418	1157	1245	1554	686	781	715	478	0.0163756608635444	1.85308569818587
250	1932	1724	1558	1778	2539	2471	3481	3788	33313	24630	33886	25774	33861	26869	34811	38659	0.0116027168858605	1.50709771002786
251	416	330	740	404	791	520	648	920	18943	15007	16827	12630	14648	9819	13509	13538	0.0120914749487011	1.88963282952985
252	75	366	77	80	249	346	170	177	851	991	756	646	624	736	426	336	0.00635166812301825	2.89430561944022
253	340	366	350	363	749	1040	750	389	5014	7192	5749	5596	5634	6758	7219	4476	0.00727902632871887	1.899227082753
254	681	440	467	687	999	1994	1672	1522	2479	1686	2435	2684	3202	4164	3581	3996	0.0155004079968	1.64252457237952
255	227	330	350	646	707	954	648	743	2085	1775	1855	2120	1912	2213	1995	2071	0.016124626633677	1.94897379533219
257	75	110	77	80	208	173	68	212	1098	1375	999	1049	791	889	564	742	0.00294016903588048	2.68687708881531
259	227	183	155	242	416	910	853	708	2296	2264	2687	2245	3330	4357	5469	4291	0.0110476785481341	1.88889430031551
260	340	330	233	444	666	737	648	283	2889	3588	4102	4194	2752	4118	3748	1953	0.00461782157747545	1.9970739230724
261	378	330	311	404	333	216	238	247	14571	13756	11990	11227	15860	18070	17064	16523	0.00516355227181973	-1.80819456360954
262	606	660	467	727	2206	2949	1979	1664	9325	8575	10875	8872	17512	16203	17363	14223	0.00218417766750477	2.02289669909582
263	568	293	623	525	457	346	341	389	5798	4891	5375	5838	8979	8068	10037	7637	0.00812230067465439	-1.97703194204263
266	833	366	740	848	499	1561	1194	849	2083	1394	1771	1635	895	1885	1382	1274	0.0177747760943776	1.8158883391219
267	189	403	272	242	666	607	1058	743	4405	4981	4133	3149	6225	4531	5211	5058	0.00148346674267957	2.19925083075883
268	1439	1173	1052	970	1248	823	1296	1203	3808	3172	3940	2526	5161	4336	5026	4933	0.0178331457003067	-1.48465666637016
269	189	440	389	323	749	563	784	708	2228	1782	1891	1532	2334	1842	2336	2248	0.0321152492086836	1.79210381032472
271	454	220	311	323	582	693	887	1133	7332	7100	7422	5774	6405	7009	7098	6437	0.00267659640479092	2.51525179311269
273	2273	1577	1714	1697	957	823	819	637	4225	3482	3679	2952	2892	2209	1945	1593	0.0127377447990254	-1.33068164999449
274	113	220	116	242	124	130	136	70	11365	12947	12989	16167	20816	21684	22752	23605	0.0130059131986595	-2.3456192397224
275	189	183	350	282	416	520	443	637	3157	2478	2997	2619	2554	3912	3059	3268	0.00808268375326597	1.79875843889732
276	3674	2824	3663	3031	2456	2645	3720	3257	14244	13016	16726	13472	17545	19309	21628	15968	0.016362452278364	-1.41791593178045
279	1363	1907	1675	1697	499	303	1092	389	4639	4552	3933	3902	2938	1817	3339	2251	0.0055803903522027	-1.91573933248159
280	1136	696	1169	1091	1332	2125	1808	2691	4289	3168	3388	4087	3330	4118	4915	4848	0.0202919652281044	1.65531494418445
283	871	476	701	1050	541	693	716	106	1344	714	1051	1494	1061	1236	1636	389	0.0293792872561281	-1.53498524349323
284	303	366	272	444	999	780	989	1097	8419	8947	8524	9459	16116	15306	16775	13894	0.00193866044211571	1.60372601481039
286	1970	3301	2766	4243	1706	2125	1399	1664	15272	17750	16567	18695	20320	17276	21201	16477	0.00283435270230762	-1.89155022809385
287	492	476	194	202	915	1604	1365	743	5727	4076	3976	3962	6188	6147	7073	5128	0.00193097549178838	2.50832125274301
288	113	183	77	242	208	303	238	354	664	917	875	1073	727	954	904	903	0.00349229205918435	1.89780918319325
289	530	440	467	485	374	563	580	885	3512	3213	3597	3415	7347	5812	5632	7974	0.0391648108083672	-1.58942333196122
290	113	183	77	161	666	563	307	460	2319	2015	1528	2650	3098	2193	2718	3196	0.000604716572043894	2.83259062856034
291	454	403	506	323	416	303	170	283	10572	11209	11257	10430	13430	15977	13126	12315	0.0200188525959893	-1.83348309843651
292	340	476	428	727	1956	2645	1569	2903	1230	1740	1498	2224	3557	5116	4845	5184	0.00710886035866061	1.63629389287471
293	189	183	155	242	208	260	341	106	397	476	292	585	249	346	358	194	0.00101416079812205	1.70652369391307
294	1856	1687	857	848	1998	1604	2593	2018	15866	14547	14054	11317	12568	12343	17292	13919	0.0225064026353575	1.62222899621745
296	1591	1944	2260	2142	2456	2688	3515	1947	11874	16760	13217	19835	11267	14534	16125	11661	0.000627959865525574	1.50086881785241
297	265	293	311	242	582	477	614	637	8036	6669	6927	5774	9107	9541	9451	7772	0.0102513445472444	1.57328683256193
298	227	146	194	242	124	260	170	106	12628	12228	11461	22046	24979	23655	28440	26556	0.014751163370832	-2.25735503899558
299	265	256	77	242	582	390	614	920	3489	3378	4102	3277	4625	4289	4550	6137	0.0441303062891133	2.14953434723696
300	227	440	428	282	166	216	102	283	2206	2786	2765	2460	2686	2744	2625	2920	0.0243944550803811	-1.93167857589116
302	227	220	233	161	582	477	375	247	3988	3100	3963	2887	12143	9735	12514	7995	0.00681480549014277	-1.55676711911608
303	795	550	389	646	541	303	477	424	11365	11229	10255	8622	18663	15977	16476	13706	0.00353886318173371	-2.08392813114683
304	568	807	545	485	624	780	682	566	5166	5604	5005	4755	3431	2945	3482	3585	4.54463441013321e-05	1.71653014316122
306	2424	3778	2727	3273	1706	1604	2491	2336	7624	9763	8687	8394	7939	9494	9437	7948	0.0195223716511965	-1.51121901687404
307	378	440	428	727	291	520	409	424	4457	5002	4871	5272	7472	7767	8532	7725	0.00376091541952541	-1.88852208511591
309	75	146	194	121	249	433	375	318	1647	1371	1948	1212	1643	1235	1057	1524	0.000208083874347614	2.99297860988564
310	303	293	272	121	166	216	341	141	21649	12759	15154	13472	41633	36140	42661	35408	0.000477556491738986	-2.8517588087358
311	416	476	194	444	1248	607	887	708	4682	4007	3542	3087	5836	4020	4286	4266	0.0408086158756422	1.84678957418335
312	530	366	311	565	249	130	341	247	15154	16674	13554	14891	16653	18586	20075	15491	0.00410383547314095	-2.16305193672424
314	871	476	467	646	333	1040	1092	708	6268	6532	5634	6340	2686	3690	3604	2692	0.03195400930798	2.23184416780071
315	644	917	701	1172	1706	1951	1501	1310	8822	8413	8659	9767	10345	11756	12945	8619	0.00866136305687727	1.5720913622048
317	265	256	155	161	416	173	136	70	1023	1007	428	626	645	303	204	212	0.00399773120400419	1.93191686553125
318	454	256	701	525	1207	823	1023	1345	2011	1264	1850	1717	2641	1929	2491	2250	0.0110313614189827	1.71442190232339
319	606	807	506	323	1915	1908	2047	956	2914	2773	2911	2245	5785	5143	4653	3366	0.00671742701620209	1.76705159718101
320	3902	6089	4637	4607	2040	2385	3651	1168	6786	8364	8416	7199	6144	5599	6929	4848	0.0239297651239839	-1.66968903337792
321	75	73	155	202	166	173	170	318	4457	4315	5567	6124	4163	4448	4062	5224	0.000959280644830924	1.93113060400869
322	113	256	272	242	457	390	307	460	3788	3378	4471	3415	4017	2768	3888	3712	0.0157523068202924	1.95239392405056
324	416	1614	896	1172	457	563	1023	141	2572	4496	3331	3732	4534	4902	5719	3631	0.0189583457308832	-2.54856531042696
325	189	220	116	80	666	910	511	672	1479	1618	1719	1370	3988	3229	2959	3314	0.00697980776885813	2.15830486357387
326	795	807	272	808	749	780	750	956	2161	1963	1737	1453	1144	1257	1211	1256	0.021374508682258	1.90031314926003
327	416	330	467	242	374	260	853	424	2541	2445	2767	1924	1601	996	1998	1609	0.00175797374636102	1.94774965326646
328	454	330	428	363	541	477	409	460	4413	3205	3727	2655	5819	5421	5688	5415	0.0182547562130262	-1.34646525367403
329	568	770	584	646	707	737	1228	531	2914	2602	2376	2650	1955	2149	2507	1594	0.0111474438853652	1.54826378818354
330	113	403	194	323	208	260	375	177	3444	3668	3359	3592	1577	2150	2234	1361	0.0358055552626328	1.98261596324856
333	1136	1283	1247	1010	1706	2298	3105	1487	12354	10611	13408	9906	11936	9950	14053	10547	0.00315677199641217	1.75935492349456
334	340	256	155	242	208	346	204	212	15498	12839	14170	11548	26020	26688	29253	23605	0.00332270661815207	-1.96788270023981
336	265	476	389	161	624	954	921	1310	3536	3532	4932	4145	5036	5129	5906	6453	0.0236921018231894	2.10889118127339
338	454	440	467	687	624	867	1433	743	14207	14673	16125	14619	12489	10450	13782	11802	0.0131062891261652	2.07840261871287
339	265	73	233	80	166	216	204	177	10608	8152	10165	6218	5947	4425	4762	5710	0.0309395254437597	2.15563210685601
340	2235	2604	2299	2263	957	1778	2935	1133	7164	9171	8611	6943	8474	8759	11117	8393	0.0387571604817452	-1.71396386921651
341	492	366	311	282	624	997	1092	672	2334	2292	2195	2227	3076	3749	4044	3057	0.026828724307652	1.50636251551574
342	265	623	428	687	374	173	375	283	7800	8661	7938	8482	11020	12390	14439	12315	0.0290632226466531	-2.30278403251492
343	303	330	272	323	374	737	546	389	4268	5240	4623	4199	4356	4756	4748	3640	0.0137864330833548	1.67482418344049
344	189	476	272	525	624	1127	546	1097	3642	3558	3409	3780	2825	3684	3818	4408	0.00446458240787328	2.30753893046368
345	719	1137	1013	727	457	390	580	460	3891	5192	4756	4409	4320	3307	3315	3513	0.00886086065816998	-1.48767065246567
347	795	696	857	1414	1706	1734	1296	1734	3717	3433	3310	3875	3951	3987	3990	3771	0.0130494613805647	1.60532829970463
348	1098	1100	1091	1131	749	607	1331	778	4258	3902	3388	4857	4625	3592	5737	3727	0.00699803484401871	-1.42039758896572
350	454	330	779	363	957	997	1160	814	6785	6229	6958	5774	7979	5972	9136	7336	0.0199424093093292	1.79873736408741
351	151	293	194	242	166	260	307	424	891	1410	897	1231	1648	1819	2047	2484	0.00431450093345205	-1.3982678329046
352	795	623	545	202	957	1734	1331	1274	2882	2494	2435	1924	3139	3987	3802	3590	0.0323047617089284	1.74477473136238
353	871	660	857	525	457	650	648	318	4313	3907	5072	3674	3816	4818	5187	4248	0.0045572939173484	-1.51789743862682
354	568	990	701	1131	1040	607	477	743	7193	7798	6945	9053	12540	10468	11111	10776	0.0284213166899521	-1.69762098787492
355	606	476	428	565	541	650	443	601	16383	13625	13827	13159	10612	10164	10563	9405	0.00142137747926249	1.50251158696506
356	2803	2274	1870	1859	1665	997	1808	956	23962	18642	17160	14525	17168	10611	16295	11802	0.0459893722597234	-1.2454095907045
358	378	293	155	161	416	433	443	247	9240	8152	12989	6736	6825	6994	6622	6522	0.0294081114272965	2.08495613898548
360	227	256	77	80	291	303	477	460	2772	2821	2051	1971	2943	2594	2514	3068	0.0407339284675491	2.15746393250929
361	303	440	350	485	208	216	204	354	21649	22010	25051	24251	20816	27105	25596	25291	0.00610064363042603	-1.71191106674822
362	189	183	350	161	416	303	273	460	2525	3396	3615	2887	1936	1715	2551	1539	0.0152226792944943	2.54188656246193
363	568	660	701	1697	1290	1040	853	1133	4059	3773	3985	5321	3730	2344	2972	3013	0.0117737025590429	1.83450633594216
365	227	73	272	121	541	390	477	460	1077	788	974	585	1707	1193	1603	1311	0.0439813579182031	1.70976295950059
368	189	293	350	161	416	173	204	177	1176	1390	1419	1188	874	649	632	548	0.0211102386543649	1.8128132679224
369	644	733	701	889	1915	1951	1501	2407	18401	18342	20041	15600	30398	25678	24617	23376	1.57251899889256e-06	1.81408092419251
370	757	880	545	767	915	390	648	531	11839	12400	9092	12589	15524	15612	17064	12645	0.0358906844379528	-1.60637551124633
371	75	110	77	121	124	260	136	283	1023	696	779	787	747	932	700	1060	0.000120909251342149	1.87739275036153
372	1136	880	740	282	1165	1214	853	1097	19596	18342	17219	14146	15139	14991	14968	15245	0.0305677282097993	1.76738681770753
373	265	220	116	323	124	86	68	106	14733	11005	12989	11150	15612	14456	22752	15174	0.000218421505203582	-3.09111728029239
374	151	183	233	121	83	86	102	70	5612	7974	6319	7132	7569	6195	6825	6437	0.00167783569437186	-2.00246660074328
375	757	403	467	323	832	563	921	1487	3444	2279	2398	1816	2372	1950	2524	2495	0.00571288973168703	1.98344445746989
376	151	440	389	202	416	650	409	601	3988	5368	6836	5613	4429	6570	5184	4458	0.0281514064862995	1.92057139883842
377	2159	1724	1519	1333	1457	1214	2252	1451	65440	57471	56289	47636	91072	63911	80447	72586	0.0413366732098208	-1.43815105446342
378	1326	953	1169	727	457	650	784	566	82876	95378	89929	90942	91593	92932	112138	94421	0.0160879452366944	-1.80705582059421
379	416	733	857	1738	3538	6201	5016	9631	2688	2697	2629	4041	8366	12112	10651	16491	0.00870759586348915	1.76158940490882
380	5304	4475	5962	7719	4538	6375	7030	6479	9338	8573	10840	13985	10856	13799	13867	12630	0.0271137088789416	-1.15614016246119
381	530	880	389	1252	541	650	750	778	12936	13140	11461	21982	27061	23233	27808	25965	0.00411400613549303	-1.83934762794454
382	1022	1650	1091	2505	2872	3339	2252	2620	13284	14739	13812	18291	17623	17857	16205	18986	0.0212482545367915	1.56838508519363
384	757	1687	1363	1535	457	607	1058	354	2785	3341	3506	3233	3392	3035	3177	2511	0.0124739909650736	-2.05894711414841
385	492	770	584	363	249	390	409	141	5661	4938	5845	5774	8058	7228	8532	8852	0.000322420313393388	-2.80908468970685
387	378	146	77	161	208	173	273	247	1023	917	820	850	644	282	529	619	0.0407177549042288	2.26685278832492
