"Individual"	"August_1m"	"August_2m"	"August_3m"	"August_4m"	"December_1m"	"December_2m"	"December_3m"	"December_4m"	"August_1t"	"August_2t"	"August_3t"	"August_4t"	"December_1t"	"December_2t"	"December_3t"	"December_4t"	"p.values"	"fc"
713	568	293	233	242	666	433	238	177	5261	6379	4329	3975	3314	2319	2413	2565	0.0272595996955783	1.93586569061494
714	151	183	311	121	124	86	102	106	3224	3596	2969	2090	3469	2990	2133	3124	0.00271781823133448	-1.7186067906343
721	265	220	272	323	208	173	204	283	29467	27513	27278	20209	41633	28912	29253	31473	0.00127730711698254	-1.58418844125485
732	719	1393	1519	808	999	997	1296	1062	9727	10325	9267	8420	15612	13124	14096	15174	0.00777285238262947	-1.4946563112744
738	75	220	233	404	249	390	238	318	3294	2934	3388	3886	2904	2673	2810	2069	0.0252330673095376	1.85257901770196
739	14775	13463	13405	12085	11032	8196	13105	9985	16944	15229	14978	13413	12903	9220	15186	11503	0.044233837316967	-1.02291757955011
748	151	330	233	161	249	520	546	424	10103	8253	9352	8083	11895	9130	10112	9442	0.00438143282433948	1.76008053277391
749	113	256	194	444	83	173	170	283	12628	12839	10824	12350	20816	19274	18960	20233	4.24981598533262e-05	-2.29703080119648
750	1212	1137	1558	929	624	477	1433	601	1724	1669	1831	1252	1103	801	1859	1133	0.00854166752581029	-1.21252043636401
757	265	440	272	242	499	867	238	672	3632	3827	3637	3464	3843	3837	3412	3676	0.0348276849750197	1.68592752209508
759	416	440	584	767	499	260	819	424	5412	4733	4602	4084	2686	1885	3329	2441	0.0472809256069926	1.56991700952872
764	75	183	116	80	166	260	375	212	2164	1852	1558	1837	2191	2132	2248	2499	0.00487379990294226	1.82476260288868
765	189	220	116	282	249	216	170	247	18943	20009	29227	20209	41633	43368	42661	35408	0.0216548114912155	-1.64238682414604
774	492	330	389	242	333	216	204	177	6080	5792	5567	5159	5551	4336	5534	5058	0.014212146519904	-1.40558884116441
779	454	550	272	282	1373	693	784	849	5982	5916	4703	4963	7941	8068	7928	9040	0.0413301762575048	1.54476165210025
794	75	183	116	161	83	303	273	247	1804	2084	1719	2214	1699	1775	2416	1432	0.0068319640285985	1.77116646911085
800	227	146	311	161	249	130	204	106	9883	6987	7603	5774	9991	9293	9751	8852	0.0468622019396605	-1.55609878607671
802	303	183	116	323	124	346	136	283	3157	3275	2783	3368	1314	1584	1820	1573	0.0444660001327928	1.83790118044632
803	189	146	77	121	166	346	68	283	662	606	369	485	437	412	307	513	0.0442508626155801	1.78963275353062
809	416	513	662	687	124	520	716	389	9922	9510	10037	8179	10408	11072	12798	11802	0.0470428499945206	-1.80005757890157
812	1212	1467	818	1778	1207	1170	1331	1310	75772	63798	62950	55575	109760	78062	102387	100776	0.0425560952032089	-1.51618163203801
817	227	440	311	404	166	563	204	106	1589	1849	1535	1110	3142	2193	2275	2655	0.0382512424958188	-2.36034030897127
823	113	256	428	363	124	390	238	247	7103	8559	7520	9094	13877	13939	14931	12392	0.0281962159974922	-1.87103024258649
824	151	256	194	485	166	520	682	460	6588	5971	4996	5706	5551	4003	5374	4603	0.0323873163258439	1.91416995053556
825	16177	10821	13444	14308	10991	8456	14027	15473	36030	26987	30906	27253	32327	21628	34464	35817	0.0369521294687789	-1.15146229771543
852	378	770	974	1131	374	693	921	318	3608	3131	4329	3999	5764	4921	4584	2950	0.0176435517687046	-1.67497833802278
853	303	110	311	161	333	173	204	141	7771	5502	7422	5052	3660	3469	4356	3827	0.042337233228915	1.62982456170071
858	113	220	77	80	208	346	136	141	9471	8465	8659	7348	8006	8260	8532	6437	0.000299625761859009	1.8493351460409
864	113	146	350	242	166	433	511	318	6685	6379	7462	6381	6938	5354	7528	6248	0.0329080520039982	1.73318444574102
873	303	953	818	1091	208	346	546	424	6888	5545	5845	4786	5077	3942	5809	5245	0.0263107697402248	-1.70587349217024
877	606	660	584	646	915	433	682	318	8419	9433	11461	9798	5387	4984	7584	4552	0.0392553884023117	1.5186094595752
880	795	990	467	565	832	737	511	743	15011	11933	15085	12860	23129	18904	24377	21869	0.00551146404813604	-1.56124262423897
883	189	366	116	323	124	86	102	283	1176	1522	1072	748	1864	1188	1528	1416	0.0014510055286251	-2.29408767668644
886	606	696	467	808	541	303	375	991	12897	13150	12638	15850	16400	13799	17877	18359	0.0493575570500475	-1.52386390331667
893	75	110	116	323	166	216	409	247	2047	2445	1948	3633	2686	3054	3056	2478	0.014507483945098	1.58901407574022
894	606	917	779	889	749	737	1228	920	10824	10190	9992	9073	14411	12086	17552	13151	0.0215471398236888	-1.25486956236856
899	189	110	194	80	124	86	68	70	1691	1965	2498	1879	2153	1885	2007	1646	0.0465787776563175	-1.53442510783536
902	530	256	194	363	208	216	136	247	10200	8283	8118	8083	9462	7228	8030	7510	0.0465446007326982	-1.46679424993892
911	265	403	194	485	249	303	170	212	5100	5240	5266	5774	4995	6195	6094	5058	0.0277253689088208	-1.4423007197474
916	113	293	77	121	374	477	511	283	1994	1630	1470	1924	2927	2497	3029	2647	0.0248467980029732	1.849333885591
917	151	110	77	161	791	216	341	849	1994	1930	1771	1816	4913	4015	4015	5554	0.0282232118794333	1.60757646149156
925	2765	2311	2377	1414	2206	1040	1604	1416	61460	59258	69916	58944	61293	47310	64162	64378	0.0201057551023297	-1.34354787282298
926	416	696	350	565	457	910	750	354	4481	4052	3277	3450	3202	2819	3322	2329	0.0390975763213583	1.52979890515477
